State,Dem,Rep,EC
Alabama,729547,1318255,9
Alaska,116454,163387,3
Arizona,1161167,1252401,11
Arkansas,380494,684872,6
California,8753792,4483814,55
Colorado,1338870,1202484,9
Connecticut,897572,673215,7
Delaware,235603,185127,3
Florida,4504975,4617886,29
Georgia,1877963,2089104,16
Hawaii,266891,128847,4
Idaho,189765,409055,4
Illinois,3090729,2146015,20
Indiana,1033126,1557286,11
Iowa,653669,800983,6
Kansas,427005,671018,6
Kentucky,628854,1202971,8
Louisiana,780154,1178638,8
Maine,357735,335593,4
Maryland,1677928,943169,10
Massachusetts,1995196,1090893,11
Michigan,2268839,2279543,16
Minnesota,1367825,1323232,10
Mississippi,485131,700714,6
Missouri,1071068,1594511,10
Montana,177709,279240,3
Nebraska,284494,495961,5
Nevada,539260,512058,6
New Hampshire,348526,345790,4
New Jersey,2148278,1601933,14
New Mexico,385234,319667,5
New York,4556142,2819557,29
North Carolina,2189316,2362631,15
North Dakota,93758,216794,3
Ohio,2394169,2841006,18
Oklahoma,420375,949136,7
Oregon,1002106,782403,7
Pennsylvania,2926441,2970733,20
Rhode Island,252525,180543,4
South Carolina,855373,1155389,9
South Dakota,117458,227721,3
Tennessee,870695,1522925,11
Texas,3877868,4685047,38
Utah,310676,515231,6
Vermont,178573,95369,3
Virginia,1981473,1769443,13
Washington,1742718,1221747,12
West Virginia,188794,489371,5
Wisconsin,1382536,1405284,10
Wyoming,55973,174419,3
Washington D.C.,282830,12723,3
